"AVGCARB", "PreTypeID"
"0", "11"
"0.16", "12"
"0.99", "13"
"3.41", "14"
"6.64", "15"
"7.55", "16"
"7.77", "17"
"7.89", "18"
"11.21", "19"
"11.69", "20"
"12.13", "21"
"12.4", "22"
"13.08", "23"
"13.89", "24"
"18.71", "25"
"20.04", "26"
"28.35", "27"
"29.14", "28"
"29.87", "29"
"30.8", "30"
"31.78", "31"
"33.96", "32"
"35.64", "33"
"42.03", "34"
"43.12", "35"
"43.68", "36"
"45.7", "37"
"47.26", "38"
"48.1", "39"
"48.6", "40"
"49.92", "41"
"50.8", "42"
"51.32", "43"
"53.2", "44"
"53.87", "45"
"56.82", "46"
"57.57", "47"
"59.03", "48"
"60", "49"
"60.25", "50"
"60.42", "51"
"60.85", "52"
"61.05", "53"
"62.34", "54"
"62.5", "55"
"62.96", "56"
"62.98", "57"
"64.77", "58"
"65", "59"
"65.3", "60"
"65.61", "61"
"66", "62"
"66.88", "63"
"66.92", "64"
"67.35", "65"
"67.7", "66"
"68.01", "67"
"68.47", "68"
"68.88", "69"
"69.4", "70"
"69.47", "71"
"69.56", "72"
"69.67", "73"
"69.68", "74"
"69.76", "75"
"69.8", "76"
"70.7", "77"
"70.76", "78"
"70.79", "79"
"71.22", "80"
"71.45", "81"
"71.59", "82"
"72.26", "83"
"72.3", "84"
"72.81", "85"
"72.84", "86"
"73.12", "87"
"73.23", "88"
"73.39", "89"
"74", "90"
"74.51", "91"
"74.96", "92"
"75.16", "93"
"75.2", "94"
"75.36", "95"
"76.05", "96"
"76.06", "97"
"76.33", "98"
"76.44", "99"
"76.7", "100"
"76.98", "101"
"77.15", "102"
"78.28", "103"
"78.36", "104"
"78.39", "105"
"78.99", "106"
"80.06", "107"
"80.74", "108"
"81.49", "109"
"82.41", "110"
"82.43", "111"
"82.5", "112"
"82.54", "113"
"83.8", "114"
"83.87", "115"
"84.15", "116"
"84.23", "117"
"86", "118"
"86.26", "119"
"86.84", "120"
"86.91", "121"
"86.92", "122"
"86.99", "123"
"87.08", "124"
"87.14", "125"
"87.86", "126"
"87.91", "127"
"88.24", "128"
"88.25", "129"
"88.54", "130"
"88.58", "131"
"88.6", "132"
"88.88", "133"
"89.62", "134"
"89.65", "135"
"89.7", "136"
"89.77", "137"
"89.81", "138"
"89.87", "139"
"90", "140"
"90.2", "141"
"90.68", "142"
"90.72", "143"
"91.2", "144"
"91.3", "145"
"91.39", "146"
"91.56", "147"
"91.68", "148"
"91.7", "149"
"91.71", "150"
"91.73", "151"
"92.03", "152"
"92.41", "153"
"92.82", "154"
"93.11", "155"
"93.51", "156"
"93.61", "157"
"93.9", "158"
"93.97", "159"
"94.1", "160"
"94.48", "161"
"94.55", "162"
"94.72", "163"
"94.73", "164"
"96.38", "165"
"96.42", "166"
"96.49", "167"
"96.8", "168"
"97.25", "169"
"97.29", "170"
"97.4", "171"
"97.45", "172"
"97.85", "173"
"97.93", "174"
"98", "175"
"98.04", "176"
"98.4", "177"
"98.8", "178"
"98.85", "179"
"99.09", "180"
"99.1", "181"
"99.35", "182"
"99.65", "183"
"99.79", "184"
"100.25", "185"
"100.5", "186"
"100.56", "187"
"100.96", "188"
"101.01", "189"
"101.2", "190"
